 INFO  Accepting connections at http://localhost:3000
 HTTP  6/24/2026 8:53:00 PM ::1 GET /
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 200 in 23 ms
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/media/36966cca54120369-s.p.woff2
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/css/62d00a072b6efe2e.css
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/media/37786be940ec402b-s.p.woff2
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/media/98e207f02528a563-s.p.woff2
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/media/d3ebbfd689654d3a-s.p.woff2
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/media/db96af6b531dc71f-s.p.woff2
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 14 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 14 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 18 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 15 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 16 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 16 ms
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/chunks/webpack-c34588a1dcdfb7a0.js
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 5 ms
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/chunks/ed64ccb0-b7d2b5246d18ca7e.js
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/chunks/128-8143b486d44c4875.js
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/chunks/main-app-92b3209e4c9f22a7.js
 HTTP  6/24/2026 8:53:00 PM ::1 GET /graph/_next/static/chunks/app/page-3b1f6f7fb43abbdf.js
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 7 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 6 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 7 ms
 HTTP  6/24/2026 8:53:00 PM ::1 Returned 404 in 6 ms
